Canteen 1,Drinks,Drinks Stall,7AM to 9PM,0,0
Canteen 1,Western,Western,7AM to 9PM,0,0
Canteen 1,Chinese,Mala,7AM to 9PM,0,0
Canteen 1,Chinese,Ban Mian,7AM to 9PM,0,0
Canteen 1,Chinese,Beef Noodle,7AM to 9PM,0,0
Canteen 1,Chinese,Chinese Zichar,7AM to 9PM,0,0
Canteen 1,Japanese,Ramen,7AM to 9PM,0,0
Canteen 1,Economical Rice,Economical Rice,7AM to 9PM,0,0
Canteen 2,Drinks,Drinks Stall,7AM to 9PM,0,0
Canteen 2,Western,Western,7AM to 9PM,0,0
Canteen 2,Muslim,Ayam Penyet,7AM to 9PM,0,0
Canteen 2,Chicken Rice,Chicken Rice,7AM to 9PM,0,0
Canteen 2,Chinese,Xiao Long Bao,7AM to 9PM,0,0
Canteen 2,Korean,Korean bbq,7AM to 9PM,0,0
Canteen 2,Yong Tau Fu,Broth Bone Soup,7AM to 9PM,0,0
Canteen 2,Chinese,Chinese Zichar,7AM to 9PM,0,0
Canteen 2,Economical Rice,Economical Rice,7AM to 9PM,0,0
Canteen 4,Western,Clams Agllo Ollo,7AM to 9PM,0,0
Canteen 4,Chinese,Salted Egg Cereal Chicken,7AM to 9PM,0,0
Canteen 4,Japanese,Chicken Katsu Don,7AM to 10PM,0,0
Canteen 4,Western,Grilled Chicken,7AM to 11PM,0,0
Canteen 4,Western,Chicken Cullet,7AM to 12PM,0,0
Canteen 4,Korean,Bingsu,7AM to 13PM,0,0
Canteen 4,Western,Pasta,7AM to 14PM,0,0
Canteen 9,Chinese,Hotpot,7AM to 9PM,0,0
Canteen 9,Dessert,Waffles,7AM to 9PM,0,0
Canteen 9,Chinese,Mixed Vege Rice,7AM to 9PM,0,0
Canteen 11,Japanese,Japanese Cuisine,7AM to 9PM,0,0
Canteen 11,Chinese,Si Chuan Mala,7AM to 9PM,0,0
Canteen 11,Dessert,Waffles,7AM to 9PM,0,0
Canteen 13,Korean,Korean Cuisine,7AM to 9PM,0,0
Canteen 13,Western,Pasta,7AM to 9PM,0,0
Canteen 13,Chinese,Chinese Cuisine,7AM to 9PM,0,0
Canteen 13,Vietnamese,Vietnamese Cuisine,7AM to 9PM,0,0
Canteen 13,Chinese,Noodle Delights,7AM to 9PM,0,0
Canteen 13,Chinese,Roast Delights,7AM to 9PM,0,0
Canteen 13,Japanese,Ramen,7AM to 9PM,0,0
Canteen 14,Muslim ,Ayam Penyet,6.30AM to 9.30PM,0,0
Canteen 14,Japanese,Ramen,6.30AM to 9.30PM,0,0
Canteen 14,Chinese,Chicken Cheese Baked Rice,6.30AM to 9.30PM,0,0
Canteen 14,Western,Hotplate,6.30AM to 9.30PM,0,0
Canteen 14,Muslim ,Nasi Lemak,6.30AM to 9.30PM,0,0
Canteen 14,Chinese,Zichar,6.30AM to 9.30PM,0,0
Canteen 14,Asian,Asian Food Delights,6.30AM to 9.30PM,0,0
Canteen 16,Japanese,Ramen,7AM to 9PM,0,0
Canteen 16,Chinese,Hotpot,7AM to 9PM,0,0
Canteen 16,Chinese,Chicken Rice,7AM to 9PM,0,0
Canteen 16,Chinese,Pork Rice,7AM to 9PM,0,0
Canteen 16,Western,Chicken Chop,7AM to 9PM,0,0
Koufu,Drinks,Drinks Stall,7AM to 9PM,0,0
Koufu,Yong Tau Fu,Yong Tau Fu,7AM to 9PM,0,0
Koufu,Indian,Prata,7AM to 9PM,0,0
Koufu,Chicken Rice,Chicken Rice,7AM to 9PM,0,0
Koufu,Western,Pasta,7AM to 9PM,0,0
Koufu,Chinese,Chinese cuisine,7AM to 9PM,0,0
Koufu,Economical Rice,Economical Rice,7AM to 9PM,0,0
Koufu,Japanese,Japanese,7AM to 9PM,0,0
Koufu,Economical Rice,Vegetarian,7AM to 9PM,0,0
Koufu,Muslim,Muslim,7AM to 9PM,0,0
NIE Canteen,Chinese,Noodle,7AM to 6PM,0,0
NIE Canteen,Indian,Indian Cuisine,7AM to 6PM,0,0
NIE Canteen,Western,Western,7AM to 6PM,0,0
NIE Canteen,Malay,Nasi Lemak,7AM to 6PM,0,0
North Hill Canteen,Chinese,Chicken Rice,7AM to 8.30PM,0,0
North Hill Canteen,Chinese,Claypot,7AM to 8.30PM,0,0
North Hill Canteen,Chinese,Laksa,7AM to 8.30PM,0,0
North Hill Canteen,Chinese,Porridge,7AM to 8.30PM,0,0
North Hill Canteen,Chinese,Minced Pork,7AM to 8.30PM,0,0
North Hill Canteen,Chinese,Mixed Vege Rice,7AM to 8.30PM,0,0
North Hill Canteen,Drinks,Drinks,7AM to 8.30PM,0,0
North Hill Canteen,Chinese,Fish soup ,7AM to 8.30PM,0,0
North Spine Foodcourt,Chinese,Noodles,7AM to 8PM,0,0
North Spine Foodcourt,Chinese,Chicken Rice,7AM to 8PM,0,0
North Spine Foodcourt,Chinese,Economical Rice,7AM to 8PM,0,0
North Spine Foodcourt,Chinese,Yong Tau Foo,7AM to 8PM,0,0
North Spine Foodcourt,Chinese,Porridge,7AM to 8PM,0,0
North Spine Foodcourt,Chinese,Mini Wok,7AM to 8PM,0,0
Pioneer Canteen,Korean,Fried Chicken Wing,7AM to 9PM,0,0
Pioneer Canteen,Indian,Indian Food,7AM to 9PM,0,0
Pioneer Canteen,Thai,Thai Cuisine,7AM to 9PM,0,0
